question_id;chapitre;titre;sous_titre;element_nom;notes_structures_id;Unnamed: 6;Unnamed: 7
1.0;EXPERIENCE CONVIVES;ENTRÉE DU SELF ;;Affichage des horaires d'ouverture du restaurant ;5.0;;
2.0;EXPERIENCE CONVIVES;ENTRÉE DU SELF ;;Affichage des plats / menus ;5.0;;
3.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Disponibilité et état des plateaux ;5.0;;
4.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Disponibilité et état des couverts ;5.0;;
5.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Disponibilité et état des verres ;5.0;;
6.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;État des assiettes ;5.0;;
7.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Disponibilité des informations sur les allergènes ;5.0;;
8.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Affichage des stands ;5.0;;
9.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Uniformité de la vaisselle aux denrées ;5.0;;
10.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Maîtrise des flux ;5.0;;
11.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Propreté et état des locaux ;5.0;;
12.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Propreté et état du matériel de distribution ;5.0;;
13.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Temps d'attente aux stands ;5.0;;
14.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Environnement / décoration ;5.0;;
15.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Respect des horaires de service ;5.0;;
16.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Le personnel ;5.0;;
17.0;EXPERIENCE CONVIVES;DISTRIBUTION ;Le personnel;La tenue de travail ;5.0;;
18.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;L'accueil, l'amabilité, le sourire ;5.0;;
19.0;EXPERIENCE CONVIVES;DISTRIBUTION ;;Les informations et le conseil ;5.0;;
20.0;EXPERIENCE CONVIVES;LES DENRÉES ;;Alignement et présentation ;5.0;;
21.0;EXPERIENCE CONVIVES;LES DENRÉES ;;Adaptation choix / espace ;5.0;;
22.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO dressés ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
23.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO dressés ;Température de service ;5.0;;
24.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO dressés ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
25.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Accessibilité / réapprovisionnement ;5.0;;
26.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Température de service ;5.0;;
27.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Affichage et information sur l'origine des viandes bovines ;5.0;;
28.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Dressage et présentation / gestes de service ;5.0;;
29.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
30.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Adaptation choix / espace ;5.0;;
31.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les HO en libre-service ;Chaleur des assiettes ;5.0;;
32.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les fromages ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
33.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les fromages ;Accessibilité / réapprovisionnement ;5.0;;
34.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les fruits ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
35.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les fruits ;Accessibilité / réapprovisionnement ;5.0;;
36.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts dressés ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
37.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts dressés ;Accessibilité / réapprovisionnement ;5.0;;
